"Alimento","Região Nordeste",Maranhão,Piauí,Ceará,"Rio Grande do Norte",Paraíba,"Pernambuco",Alagoas,Sergipe,Bahia
      Linguiça,"1,368","1,027","2,128","1,181","2,019","1,430","1,107","0,953","1,302","1,576"
      Outras,"0,092","0,160","0,070","0,100","0,192","0,208","0,043","0,059","0,028","0,053"
Vísceras,"0,822","1,175","0,691","0,457","0,781","0,567","0,745","0,426","1,008","1,095"
   Vísceras bovinas,"0,768","1,128","0,667","0,415","0,749","0,471","0,713","0,406","0,959","1,009"
      Bucho,"0,020","0,057","0,028",-,"0,043",-,"0,029",-,"0,004","0,014"
      Fígado,"0,473","0,493","0,326","0,319","0,308","0,336","0,555","0,341","0,604","0,623"
      Língua,"0,023",-,"0,006","0,004","0,018","0,041","0,033",-,-,"0,049"
      Outras,"0,252","0,578","0,308","0,092","0,381","0,094","0,096","0,065","0,352","0,323"
   Vísceras suínas,"0,030","0,026","0,023","0,032","0,018","0,004","0,021","0,020","0,044","0,049"
   Outras vísceras,"0,023","0,021",-,"0,010","0,015","0,092","0,011",-,"0,004","0,038"
Pescados,"4,083","11,066","4,748","3,502","2,653","2,795","3,019","3,749","4,588","2,347"
   Pescados de água salgada,"2,413","6,038","1,316","1,894","1,586","1,829","2,148","2,151","3,105","1,732"
      Anchova fresca,"0,031","0,037","0,037",-,-,"0,035","0,108","0,057",-,"0,002"
      Bacalhau,"0,060","0,006",-,"0,042","0,017","0,090","0,096","0,090","0,081","0,077"
      Bagre fresco,"0,071","0,474","0,052","0,040",-,-,-,-,-,"0,011"
      Cação fresco,"0,001",-,-,-,-,"0,002",-,-,-,"0,004"
      Camarão fresco,"0,120","0,396","0,045","0,020","0,103","0,055","0,107","0,061","0,277","0,085"
      Corvina fresca,"0,219","0,351",-,"0,049","0,008","0,142","0,189","0,125","0,294","0,409"
      Merluza em filé congelado,"0,022",-,"0,015",-,"0,017","0,004","0,052","0,012","0,013","0,036"
      Merluza em filé fresco,"0,008",-,-,"0,018",-,"0,005","0,006",-,-,"0,013"
      Parati fresco,"0,003","0,022",-,-,-,-,-,-,-,-
      Pescada em filé congelado,"0,003",-,"0,035","0,006",-,-,-,-,-,-
      Pescada em filé fresco,"0,005","0,031",-,-,-,-,-,-,-,"0,005"
      Pescada fresca,"0,109","0,454","0,040","0,024","0,066","0,036","0,059","0,121","0,143","0,068"
      Pescadinha fresca,"0,028","0,149","0,026",-,-,"0,024","0,023",-,-,"0,011"
      Sardinha em conserva,"0,198","0,381","0,414","0,117","0,173","0,171","0,265","0,148","0,113","0,108"
      Sardinha fresca,"0,102","0,030","0,035","0,025","0,099","0,061","0,144","0,076","0,209","0,174"
      Tainha fresca,"0,082","0,423","0,006","0,061","0,048",-,"0,027","0,017","0,126","0,022"
      Outros pescados em filé congelado,"0,072","0,020","0,033","0,102","0,071","0,076","0,057","0,023","0,060","0,109"
      Outros pescados em filé fresco,"0,090","0,110","0,005","0,071","0,072","0,158","0,073","0,061","0,136","0,108"
      Outros pescados frescos,"1,103","2,944","0,572","1,208","0,848","0,902","0,838","1,304","1,618","0,445"
      Outros pescados salgados,"0,086","0,212",-,"0,110","0,063","0,068","0,105","0,056","0,035","0,044"
   Pescados de água doce,"0,966","2,699","2,961","0,997","0,598","0,611","0,384","0,710","0,722","0,336"
      Acará fresca,"0,023","0,045",-,"0,073",-,"0,004",-,"0,098",-,-
      Acari fresco,"0,009","0,057","0,001",-,"0,008",-,"0,007",-,-,"0,002"
      Anujá fresco,"0,049","0,213","0,167",-,-,-,"0,029",-,-,"0,031"
      Curimatã fresco,"0,044","0,193","0,135","0,008","0,059",-,"0,017",-,-,"0,018"
      Dourada fresca,"0,009",-,-,-,"0,106","0,009","0,007","0,007","0,007",-
      Jaraqui fresco,-,-,-,-,-,-,-,-,-,-
      Lambari fresco,"0,031","0,069","0,149","0,011",-,-,"0,003",-,"0,060","0,034"
      Mapará fresco,"0,001","0,005",-,-,"0,008",-,-,-,-,-
      Piau fresco,"0,009","0,024","0,071",-,-,-,-,-,-,"0,007"
      Surubim fresco,"0,006","0,015","0,076",-,-,-,-,-,-,-
      Tambaqui fresco,"0,242","1,265","1,082","0,037",-,"0,031","0,008","0,040","0,131","0,024"
      Tilápia fresca,"0,303","0,087","0,745","0,692","0,295","0,434","0,200","0,299","0,365","0,093"
      Traíra fresca,"0,038","0,196","0,046","0,015",-,"0,007","0,016",-,"0,051","0,014"
      Tucunaré fresco,"0,014",-,"0,048",-,"0,012","0,022",-,-,-,"0,034"
      Outros pescados em filé congelado,"0,017",-,-,"0,031","0,008","0,024","0,024","0,009","0,011","0,017"
      Outros pescados em filé fresco,"0,009",-,"0,016",-,-,"0,006","0,015","0,028","0,002","0,014"
      Outros pescados frescos,"0,150","0,529","0,424","0,091","0,103","0,069","0,053","0,220","0,080","0,035"
      Outros pescados salgados,"0,012",-,-,"0,039",-,"0,005","0,005","0,009","0,016","0,013"
   Pescados não especificados,"0,703","2,330","0,471","0,612","0,469","0,355","0,487","0,888","0,760","0,279"
      Peixe em filé congelado,"0,007",-,-,"0,004",-,"0,010","0,017","0,022","0,034",-
      Peixe em filé fresco,"0,004",-,-,"0,020","0,010",-,-,-,-,-
      Peixe fresco,"0,689","2,330","0,471","0,583","0,459","0,345","0,470","0,866","0,697","0,272"
      Peixe salgado,"0,004",-,-,"0,005",-,-,-,-,"0,029","0,007"
Aves e ovos,"18,811","17,320","21,678","21,883","20,646","16,951","18,167","18,791","21,488","17,072"
   Aves,"15,046","15,219","18,184","18,031","16,138","14,008","13,845","14,213","17,459","13,047"
      Asa de frango,"0,226","0,065","0,107","0,209","0,428","0,083","0,303","0,164","0,064","0,319"
      Carne de frango não especificada,"0,696","0,428","0,397","0,926","0,629","0,749","0,930","0,639","2,594","0,321"
      Coxa de frango,"1,085","0,304","0,606","0,601","1,855","0,721","1,045","0,467","1,093","1,936"
      Dorso de frango,"0,033",-,-,"0,031","0,150",-,"0,028","0,050","0,062","0,035"
      Frango abatido (inteiro),"10,521","13,244","15,182","14,320","9,775","10,286","8,692","10,542","9,791","7,389"
      Frango vivo,"0,188","0,275","0,368","0,066","0,137","0,089","0,080","0,492","0,366","0,192"
      Miúdos de frango,"0,108","0,043","0,048","0,094","0,323","0,061","0,148","0,079","0,100","0,105"
      Peito de frango,"1,985","0,820","1,359","1,606","2,729","1,903","2,386","1,625","3,302","2,378"
      Outras carnes de frango,"0,068","0,030","0,013","0,053","0,068","0,077","0,118","0,023","0,071","0,084"
      Pato  inteiro ou em cortes,"0,015",-,"0,009","0,024",-,-,-,-,-,"0,039"
      Peru abatido,"0,034",-,"0,075",-,"0,037",-,"0,068","0,128",-,"0,031"
      Peru em cortes,"0,075","0,001","0,021","0,084","0,007","0,034","0,020","0,005","0,015","0,202"
      Outras,"0,013","0,010",-,"0,018",-,"0,005","0,027",-,-,"0,015"
   Ovos,"3,765","2,101","3,494","3,851","4,507","2,943","4,322","4,578","4,028","4,026"
      Ovo de galinha,"3,745","2,096","3,484","3,838","4,470","2,935","4,288","4,571","4,016","4,000"
      Outros,"0,020","0,005","0,010","0,013","0,037","0,008","0,035","0,007","0,012","0,026"
Laticínios,"20,061","8,872","15,130","25,410","32,655","22,940","16,078","10,180","19,274","24,308"
   Leite e creme de leite,"16,469","7,743","12,986","22,200","27,293","18,717","10,573","7,991","15,451","20,524"
      Creme de leite,"0,292","0,098","0,195","0,290","0,566","0,476","0,383","0,109","0,178","0,292"
      Leite condensado,"0,408","0,185","0,294","0,378","0,646","0,402","0,525","0,230","0,581","0,441"
      Leite de vaca fresco,"6,217","1,350","6,134","7,802","13,451","8,918","1,873","3,466","8,293","8,210"
      Leite de vaca pasteurizado,"6,741","3,407","3,197","11,220","8,539","7,022","4,256","2,293","3,539","8,933"
      Leite em pó desengordurado,"0,125","0,076","0,125","0,069","0,123","0,124","0,121","0,093","0,109","0,194"
      Leite em pó integral,"1,853","2,219","2,633","1,649","1,604","1,077","2,342","1,220","1,747","1,748"
      Leite em pó não especificado,"0,188","0,222","0,049","0,244","0,316","0,262","0,171","0,310","0,222","0,097"
      Outros,"0,645","0,186","0,359","0,548","2,049","0,436","0,902","0,272","0,783","0,609"
   Queijos e requeijão,"1,556","0,320","0,730","1,279","2,395","2,061","2,971","0,899","1,745","1,375"
      Queijo minas,"0,673","0,025","0,167","0,692","0,957","1,061","1,917","0,315","0,827","0,171"
      Queijo mozzarella,"0,421","0,156","0,389","0,167","0,861","0,587","0,508","0,355","0,362","0,530"
      Queijo não especificado,"0,090","0,059","0,056","0,194","0,120","0,075","0,023","0,082","0,134","0,082"
      Queijo parmezão,"0,035","0,004","0,005","0,006","0,030","0,049","0,060","0,020","0,011","0,061"
      Queijo prato,"0,118","0,043","0,031","0,076","0,079","0,049","0,183","0,038","0,058","0,212"
      Outros queijos,"0,056","0,007","0,010","0,024","0,068","0,042","0,084","0,035","0,120","0,085"
      Requeijão,"0,163","0,025","0,071","0,119","0,279","0,198","0,195","0,054","0,233","0,233"
   Outros laticínios,"2,036","0,809","1,414","1,931","2,968","2,162","2,534","1,291","2,078","2,409"
      Iogurte,"1,082","0,493","1,072","1,023","1,231","1,163","1,337","0,707","1,136","1,254"
      Leite fermentado,"0,513","0,137","0,284","0,525","1,254","0,663","0,665","0,229","0,408","0,501"
      Manteiga,"0,398","0,175","0,056","0,358","0,334","0,272","0,410","0,348","0,526","0,636"
      Outros,"0,044","0,004","0,002","0,024","0,150","0,064","0,121","0,007","0,008","0,018"
"Açúcares, doces e produtos de confeitaria","14,332","12,947","12,939","14,198","18,035","13,321","14,560","14,432","12,826","14,841"
   Açúcares,"11,814","11,205","10,964","11,504","13,780","11,203","11,697","12,969","10,093","12,263"
      Açúcar cristal,"7,135","5,180","8,402","6,570","6,416","5,411","8,966","7,236","6,377","7,683"
      Açúcar demerara,"0,301","0,043","0,128","0,076","0,391","0,251","0,409","0,158","0,880","0,463"
      Açúcar não especificado,"1,403","0,773","0,350","2,075","2,225","1,447","0,702","1,549","1,972","1,643"
      Açúcar refinado,"2,947","5,194","2,071","2,756","4,700","4,053","1,575","3,992","0,836","2,452"
      Outros,"0,029","0,015","0,014","0,026","0,047","0,041","0,045","0,034","0,028","0,021"
   Doces e produtos de confeitaria,"1,673","1,133","1,158","1,815","2,705","1,754","2,149","1,056","2,381","1,419"
      Bombom,"0,045","0,045","0,024","0,045","0,085","0,048","0,040","0,037","0,044","0,044"
      Chocolate em tablete,"0,077","0,025","0,054","0,066","0,167","0,121","0,094","0,082","0,021","0,077"
      Doce a base de leite,"0,046","0,024","0,060","0,045","0,026","0,087","0,067","0,005","0,015","0,047"
      Doce de fruta cristalizado,"0,011","0,011","0,006","0,013","0,014","0,009","0,026",-,-,"0,004"
      Doce de fruta em calda,"0,008","0,012","0,011",-,-,-,"0,020","0,003","0,006","0,007"
      Doce de fruta em pasta,"0,195","0,085","0,208","0,188","0,351","0,184","0,265","0,105","0,084","0,206"
      Rapadura,"0,077","0,022","0,135","0,123","0,248","0,158","0,040",-,-,"0,054"
      Sorvete,"0,361","0,222","0,253","0,376","0,721","0,310","0,430","0,317","0,323","0,343"
      Outros,"0,854","0,687","0,407","0,959","1,093","0,837","1,166","0,508","1,889","0,635"
"   Outros açúcares, doces e produtos de confeitaria","0,844","0,609","0,817","0,878","1,551","0,364","0,714","0,407","0,353","1,159"
      Chocolate em pó,"0,302","0,238","0,308","0,308","0,471","0,217","0,267","0,118","0,197","0,389"
      Gelatina,"0,007","0,003","0,004","0,007","0,007","0,006","0,005","0,003","0,008","0,013"
      Mel de abelha,"0,023","0,007","0,013","0,065","0,014","0,008","0,021","0,031","0,019","0,014"
      Polpa de fruta,"0,504","0,359","0,492","0,492","1,008","0,128","0,414","0,253","0,129","0,735"
      Outros,"0,008","0,001",-,"0,006","0,052","0,005","0,007","0,001",-,"0,008"
Sais e condimentos,"3,436","3,579","3,135","2,550","4,022","2,804","3,817","3,477","3,469","3,751"
   Sais,"1,433","2,154","1,952","1,322","1,453","0,958","1,352","1,409","1,424","1,225"
      Sal grosso,"0,153","0,282","0,190","0,122","0,064","0,125","0,106","0,082","0,254","0,163"
      Sal refinado,"1,267","1,872","1,762","1,181","1,387","0,816","1,246","1,322","1,159","1,036"
      Outros,"0,012","0,001",-,"0,019","0,002","0,017","0,001","0,005","0,011","0,026"
   Condimentos,"2,003","1,425","1,183","1,229","2,569","1,846","2,465","2,067","2,045","2,527"
      Caldo de carne em tablete,"0,017","0,004","0,013","0,008","0,026","0,021","0,026","0,010","0,017","0,021"
      Caldo de galinha em tablete,"0,038","0,013","0,017","0,024","0,080","0,044","0,052","0,014","0,008","0,054"
      Outros caldos em tablete,"0,017",-,"0,004","0,034","0,033","0,029","0,017","0,006","0,002","0,015"
      Colorau,"0,142","0,122","0,114","0,169","0,273","0,122","0,136","0,203","0,144","0,105"
      Fermento,"0,009","0,005","0,003","0,003","0,005","0,005","0,009","0,007","0,012","0,020"
      Leite de coco,"0,087","0,040","0,042","0,044","0,082","0,031","0,087","0,042","0,047","0,177"
      Maionese,"0,128","0,056","0,050","0,121","0,159","0,168","0,177","0,085","0,065","0,151"
      Massa de tomate,"0,259","0,275","0,067","0,054","0,067","0,278","0,320","0,178","0,180","0,451"
      Molho de tomate,"0,458","0,183","0,231","0,229","0,691","0,403","0,580","0,577","0,488","0,630"
      Tempero misto,"0,095","0,097","0,095","0,165","0,273","0,032","0,057","0,045","0,035","0,073"
      Vinagre de álcool,"0,338","0,354","0,177","0,156","0,270","0,357","0,640","0,151","0,483","0,314"
      Vinagre de vinho,"0,014","0,026","0,023",-,-,"0,004","0,004","0,057",-,"0,020"
      Vinagre não especificado,"0,140","0,102","0,087","0,064","0,047","0,055","0,110","0,518","0,377","0,158"
      Outros,"0,261","0,149","0,260","0,157","0,561","0,297","0,249","0,172","0,187","0,336"
Óleos e gorduras,"5,304","5,789","6,256","4,646","4,976","4,235","5,829","4,892","4,636","5,493"
   Óleos,"3,982","4,837","5,102","3,368","3,347","2,974","3,986","3,548","3,282","4,327"
      Azeite de oliva,"0,100","0,030","0,017","0,072","0,198","0,106","0,116","0,040","0,054","0,155"
      Óleo de girassol,"0,116","0,148","0,086","0,031","0,098","0,122","0,103","0,087","0,177","0,169"
      Óleo de canola,"0,022","0,015","0,011","0,030","0,036","0,030","0,023","0,008","0,041","0,015"
      Óleo de milho,"0,154","0,407","0,312","0,134","0,104","0,146","0,139","0,033","0,022","0,081"
      Óleo de soja,"3,472","4,129","4,347","3,025","2,735","2,482","3,543","3,290","2,956","3,757"
      Óleo não especificado,"0,059","0,034",-,"0,066","0,119","0,087","0,032","0,088","0,028","0,073"
      Outros,"0,059","0,075","0,329","0,009","0,058","0,002","0,030","0,002","0,004","0,076"
   Gorduras,"1,322","0,951","1,154","1,277","1,629","1,261","1,843","1,344","1,354","1,165"
      Banha de porco,"0,006",-,"0,011","0,009",-,-,"0,004",-,-,"0,014"
      Margarina vegetal,"1,314","0,951","1,143","1,261","1,629","1,257","1,839","1,344","1,354","1,152"
      Outras,"0,002",-,-,"0,008",-,"0,004",-,-,-,-
Bebidas e infusões,"67,517","30,219","21,632","104,569","122,450","32,198","140,502","47,350","48,923","30,028"
   Bebidas alcoólicas,"2,698","1,206","1,592","1,637","3,008","1,743","3,434","2,420","3,130","4,008"
      Aguardente de cana,"0,101","0,010","0,110","0,068","0,217","0,273","0,070","0,100","0,030","0,119"
      Outras aguardentes,"0,002","0,002",-,-,-,-,-,-,-,"0,007"
      Cerveja,"2,315","1,068","1,331","1,381","2,360","1,311","2,908","2,198","2,960","3,503"
      Vinho,"0,174","0,093","0,111","0,161","0,358","0,096","0,203","0,094","0,095","0,224"
      Outras,"0,106","0,033","0,040","0,027","0,073","0,064","0,254","0,029","0,044","0,154"
   Bebidas não alcoólicas,"62,296","26,498","17,467","100,245","116,754","28,036","134,948","42,950","44,051","23,114"
      Água mineral,"53,506","21,242","9,170","90,200","106,880","21,026","122,559","36,569","33,878","15,058"
      Refrigerante de cola,"3,198","1,910","4,100","3,086","3,102","2,274","4,946","2,740","3,352","2,910"
      Refrigerante de guaraná,"2,269","1,352","2,019","2,198","2,308","1,962","3,663","1,275","2,690","2,142"
      Refrigerante de laranja,"0,766","0,391","0,715","0,992","0,830","0,631","1,064","0,283","1,109","0,701"
      Refrigerante de limão,"0,181","0,027","0,003","0,132","0,241","0,246","0,282","0,016","0,237","0,257"
      Refrigerante de maçã,-,-,-,-,-,-,-,-,-,-
      Refrigerante de uva,"0,152","0,074","0,232","0,131","0,484","0,146","0,130","0,042","0,073","0,158"
      Bebida energética,"0,035","0,001",-,"0,019","0,023","0,010","0,045","0,028","0,056","0,071"
      Refrigerante não especificado,"0,922","0,652","0,597","1,534","1,620","0,647","0,601","1,396","1,301","0,699"
      Outros refrigerantes,"0,116","0,200","0,151","0,294","0,058","0,056","0,107","0,036",-,"0,030"
      Suco de fruta em pó,"0,149","0,283","0,240","0,128","0,160","0,115","0,125","0,127","0,108","0,113"
      Suco de fruta envasado,"0,828","0,273","0,184","1,066","0,628","0,807","1,289","0,325","1,022","0,929"
      Outras,"0,174","0,094","0,056","0,466","0,419","0,117","0,136","0,113","0,226","0,045"
   Cafés,"2,498","2,513","2,573","2,676","2,662","2,398","2,052","1,972","1,721","2,874"
      Café moído,"2,339","2,437","2,474","2,542","2,431","2,258","1,701","1,851","1,535","2,779"
      Café solúvel,"0,086","0,047","0,047","0,069","0,115","0,106","0,187","0,067","0,144","0,043"
      Outros,"0,072","0,029","0,052","0,064","0,116","0,033","0,164","0,054","0,041","0,051"
   Chás,"0,026","0,002","0,001","0,011","0,026","0,020","0,067","0,008","0,021","0,032"
      Chá-mate,"0,009",-,-,-,"0,007","0,006","0,006",-,"0,010","0,026"
      Outros,"0,017","0,002","0,001","0,011","0,020","0,014","0,061","0,008","0,011","0,006"
Alimentos preparados e misturas industriais,"2,412","1,708","2,782","3,171","5,074","1,756","2,320","1,194","3,142","1,967"
   Alimentos preparados,"2,262","1,562","2,649","3,068","4,910","1,643","2,177","1,076","3,019","1,764"
      Alimento congelado,"0,055","0,012","0,020",-,"0,117","0,009","0,161",-,"0,101","0,051"
      Batata frita,"0,052","0,011","0,020","0,065","0,186","0,007","0,078","0,018","0,061","0,041"
      Carne-assada,"0,087","0,117","0,034","0,157","0,194","0,067","0,037","0,012","0,021","0,081"
      Frango assado ou defumado,"0,482","0,926","0,833","0,652","0,460","0,341","0,453","0,233","0,274","0,239"
      Frango empanado,"0,035","0,009","0,007","0,045","0,103","0,059","0,054","0,030","0,011","0,018"
      Massa,"0,318","0,106","0,166","0,412","0,551","0,028","0,318","0,128","0,512","0,432"
      Refeição,"0,775","0,156","1,245","1,106","2,058","0,652","0,483","0,341","1,693","0,634"
      Salgadinho,"0,139","0,051","0,065","0,238","0,240","0,140","0,141","0,036","0,127","0,137"
      Sanduíche,"0,051","0,011","0,034","0,064","0,266","0,017","0,093","0,026","0,061","0,003"
      Outros,"0,268","0,162","0,225","0,329","0,733","0,323","0,359","0,250","0,158","0,129"
   Misturas industriais,"0,149","0,146","0,134","0,103","0,165","0,113","0,143","0,118","0,123","0,204"
      Mistura para bolo,"0,136","0,132","0,132","0,081","0,154","0,102","0,122","0,087","0,113","0,200"
      Outras,"0,014","0,014","0,002","0,022","0,010","0,011","0,021","0,031","0,010","0,004"
Outros produtos,"0,005","0,015",-,"0,001","0,015","0,003","0,008",-,"0,004","0,003"