"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
Despesas com alimentação,"496,10","320,58","466,40","592,40","757,75","962,30","1317,05","2007,01"
 Alimentação no domicílio,"371,25","264,70","375,62","429,55","530,44","650,30","780,71","1044,98"
"  Cereais, leguminosas e oleaginosas","20,73","20,65","22,71","19,73","16,69","17,12","28,37","35,06"
   Arroz,"9,33","10,20","9,58","8,85","7,47","5,17","7,12","6,32"
   Feijão,"8,61","8,63","9,12","8,89","3,99","9,65","17,50","12,22"
   Orgânicos,"0,02","0,05",-,-,-,-,-,-
   Outros,"2,77","1,78","4,01","2,00","5,23","2,30","3,75","16,53"
"  Farinhas, féculas e massas","16,17","14,90","17,68","16,51","18,48","15,37","20,94","16,48"
   Macarrão,"5,69","5,60","5,82","5,39","5,87","7,54","7,24","4,47"
   Farinha de trigo,"0,42","0,39","0,52","0,46","0,07","0,62","0,48","0,76"
   Farinha de mandioca,"1,58","1,79","1,91","1,49","0,59","0,02","0,79","0,68"
   Outras,"8,49","7,11","9,43","9,16","11,95","7,19","12,44","10,57"
  Tubérculos e raízes,"8,61","5,63","10,03","10,32","11,89","11,86","20,59","24,90"
   Batata inglesa,"1,86","1,15","2,05","2,21","2,34","4,53","5,07","5,79"
   Cenoura,"1,25","0,64","1,57","1,64","1,07","2,49","5,39","5,39"
   Mandioca,"1,17","1,03","1,54","1,35","1,19","0,30","0,83",-
   Outros,"4,33","2,81","4,87","5,12","7,30","4,54","9,30","13,72"
  Açúcares e derivados,"13,22","10,14","12,60","12,73","17,30","26,58","53,23","44,11"
   Açúcar refinado,"2,27","1,58","3,56","2,90","1,17","3,53","1,02","0,54"
   Açúcar cristal,"2,37","3,08","2,03","1,78","1,71","1,00","0,32","1,25"
   Light e diet,-,-,-,-,-,-,-,-
   Outros,"8,59","5,48","7,01","8,05","14,42","22,05","51,89","42,33"
  Legumes e verduras,"8,50","5,35","9,59","10,17","9,00","17,28","30,84","28,85"
   Tomate,"2,80","2,15","2,68","3,41","2,57","5,23","11,71","4,51"
   Cebola,"1,43","0,94","1,80","1,65","1,88","2,27","4,61","1,79"
   Alface,"0,68","0,35","0,81","0,83","0,62","1,74","2,28","3,95"
   Outros,"3,59","1,91","4,30","4,28","3,93","8,05","12,24","18,60"
  Frutas,"19,30","9,36","17,87","26,76","35,80","33,52","83,22","76,01"
   Banana,"4,91","3,12","4,74","6,32","7,73","6,48","16,50","16,11"
   Laranja,"2,21","1,24","1,82","3,20","4,53","2,66","9,93","4,35"
   Maçã,"1,91","0,94","1,46","2,98","3,56","2,81","9,01","6,95"
   Outras frutas,"10,27","4,06","9,85","14,25","19,97","21,58","47,78","48,59"
"  Carnes, vísceras e pescados","76,11","55,78","77,16","81,00","112,86","143,13","148,96","233,41"
   Carne de boi de primeira,"14,05","8,24","11,22","15,72","17,91","51,81","47,44","81,02"
   Carne de boi de segunda,"10,75","9,38","12,00","12,21","11,54","9,74","2,77","20,24"
   Carne de suíno,"5,17","4,44","3,40","3,07","11,82","7,68","6,07","43,83"
   Carnes e peixes industrializados,"19,67","15,90","23,35","18,75","21,17","37,06","28,60","47,90"
   Pescados frescos,"8,00","7,26","7,36","5,71","16,68","9,79","30,33","6,01"
   Outros,"18,48","10,55","19,84","25,55","33,75","27,05","33,76","34,41"
  Aves e ovos,"37,04","30,59","43,73","37,53","42,90","60,34","54,17","42,64"
   Frango,"29,69","26,25","33,25","29,46","34,70","44,43","30,75","31,11"
   Ovo de galinha,"6,78","4,20","9,95","7,52","7,28","15,01","10,89","8,63"
   Orgânicos,-,-,-,-,-,-,-,-
   Outros,"0,57","0,15","0,53","0,54","0,92","0,90","12,52","2,90"
  Leites e derivados,"39,96","23,49","36,13","49,15","70,90","79,29","87,29","194,35"
   Leite de vaca,"10,73","5,51","9,81","14,42","21,20","20,54","28,54","43,99"
   Leite em pó,"6,89","6,49","6,28","6,63","10,02","9,70","7,12","8,68"
   Queijos,"11,91","5,02","10,76","13,64","22,46","36,38","28,51","99,45"
   Light e diet,"0,59","0,10","0,46","0,51","1,02","0,60",-,"18,02"
   Orgânicos,"0,00",-,-,-,"0,05",-,-,-
   Outros,"9,83","6,37","8,82","13,95","16,15","12,08","23,11","24,22"
  Panificados,"41,50","31,62","39,59","50,16","57,92","67,58","54,73","98,30"
   Pão francês,"19,65","14,74","17,07","25,74","29,42","32,09","24,20","38,00"
   Biscoito,"14,22","12,24","15,02","16,29","14,40","13,86","9,75","39,88"
   Light e diet,"0,04","0,08","0,04",-,-,-,-,-
   Outros panificados,"7,59","4,56","7,46","8,13","14,09","21,63","20,77","20,41"
  Óleos e gorduras,"4,38","3,23","3,58","5,03","6,22","5,61","20,19","18,23"
   Óleo de soja,"2,92","3,03","2,60","3,17","2,65","2,62","3,72","1,66"
   Azeite de oliva,"0,87","0,03","0,28","0,74","2,77","2,99","12,80","13,90"
   Outros,"0,59","0,17","0,71","1,12","0,80",-,"3,67","2,67"
  Bebidas e infusões,"23,20","15,30","21,90","28,90","41,62","36,61","59,96","51,19"
   Café moído,"9,37","7,67","10,18","8,66","19,10","10,75","3,98","12,44"
   Refrigerantes,"5,61","3,82","4,87","7,73","7,59","12,10","10,57","12,47"
   Bebidas não alcoólicas light e diet,"0,08","0,03",-,"0,06",-,-,"3,95","0,62"
   Cervejas e chopes,"2,10","0,81","2,08","5,00","0,30","3,03","11,79",-
   Outras bebidas alcoólicas,"1,71","0,55","1,32","2,12","5,71","6,20","5,37","3,45"
   Outras,"4,33","2,42","3,46","5,33","8,92","4,53","24,29","22,21"
  Enlatados e conservas,"3,58","1,64","4,78","4,19","6,52","6,41","5,19","16,95"
  Sal e condimentos,"6,11","4,23","5,83","7,21","8,36","11,54","12,77","24,24"
   Massa de tomate,"0,42","0,35","0,51","0,34","1,00","0,43",-,-
   Maionese,"0,48","0,30","0,22","0,80","0,15","1,36",-,"5,60"
   Sal refinado,"0,27","0,27","0,26","0,34","0,15","0,20","0,17",-
   Outros,"4,94","3,32","4,84","5,72","7,06","9,55","12,60","18,64"
  Alimentos preparados,"6,75","3,73","5,28","6,99","5,38","27,54","48,40","47,66"
  Outros alimentos,"46,06","29,06","47,15","63,17","68,60","90,51","51,86","92,60"
 Alimentação fora do domicílio,"124,85","55,88","90,78","162,85","227,31","312,01","536,34","962,03"
  Almoço e jantar,"88,07","36,67","57,44","110,99","166,20","261,22","439,70","742,57"
"  Café, leite, café/leite e chocolate","0,86","0,67","0,62","1,00","1,23","0,07",-,"9,15"
  Sanduíches e salgados,"10,34","4,85","6,71","15,23","21,40","27,93","53,26","30,12"
  Refrigerantes e outras bebidas não alcoólicas ,"4,60","2,35","3,24","7,60","5,74","6,48","21,55","28,23"
  Lanches,"10,40","5,74","8,65","17,27","4,97","9,34",-,"127,35"
"  Cervejas, chopes e outras bebidas alcoólicas ","5,28","2,62","5,36","7,27","15,70","4,61","8,89","2,52"
  Alimentação light e diet,"0,11",-,-,-,-,-,"3,90","4,53"
  Outras,"5,18","3,00","8,76","3,49","12,07","2,36","9,03","17,57"
Número de famílias,1265385,575666,251979,267465,96295,42374,14400,17205
Tamanho médio da família,"3,13","3,03","2,89","3,37","3,54","3,45","3,02","3,51"